#Title: Galactic center X-ray sources (Muno+, 2009)
#INFO creator=Muno M.P.     First author or institution     
#INFO cites=bibcode:2009ApJS..181..110M     Article or Data origin sources     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/181/110     Dataset landing page     
#---Details of Columns:
#    CXOGC            (A15)   IAU name (HHMMSS.s-DDMMSS) [ucd=meta.id;meta.main]
#    RAJ2000 (deg)    (F9.5)  Right Ascension in degrees (J2000) [ucd=pos.eq.ra;meta.main]
#    DEJ2000 (deg)    (F9.5)  Declination in degrees (J2000) [ucd=pos.eq.dec;meta.main]
#    Sflux (ph/cm2/s) (E8.1)  Photon flux 0.5-2.0keV [ucd=phot.flux;em.X-ray]
#    Hflux (ph/cm2/s) (E8.1)  Photon flux 2-8keV [ucd=phot.flux;em.X-ray]
#--------------- --------- --------- -------- --------
#                RAJ2      DEJ2      Sflux (p Hflux (p
#CXOGC           000 (deg) 000 (deg) h/cm2/s) h/cm2/s)
#--------------- --------- --------- -------- --------
174515.0-290904 266.31290 -29.15139  7.1e-08  1.4e-06
174515.0-290905 266.31290 -29.15139  8.2e-08  1.3e-06
174515.1-285407 266.31293 -28.90209 -1.5e-08  9.3e-07
174515.1-285841 266.31314 -28.97805 -6.7e-08  3.7e-07
174515.1-285854 266.31342 -28.98180 -1.8e-08  2.2e-07
174515.1-290006 266.31320 -29.00191 -7.7e-09  4.8e-07
174515.1-290016 266.31314 -29.00449  3.4e-08  6.6e-07
174515.1-290127 266.31323 -29.02419 -1.5e-08  2.8e-07
174515.2-290316 266.31348 -29.05462 -7.5e-09  2.1e-07
174515.3-290252 266.31368 -29.04793  1.9e-09  1.5e-07
174515.4-285742 266.31436 -28.96199  4.1e-08  2.9e-07
174515.5-290108 266.31499 -29.01889 -1.5e-08  2.7e-07
174515.6-290031 266.31519 -29.00884  5.3e-09  2.4e-07
174515.6-290107 266.31492 -29.01889 -1.6e-08  2.4e-07
174515.6-290239 266.31506 -29.04437  1.1e-08  3.1e-07
174515.7-285323 266.31558 -28.88994 -3.5e-08  6.9e-07
174515.7-285848 266.31564 -28.98000 -2.4e-08  5.1e-07
174515.7-290222 266.31558 -29.03952 -5.6e-09  6.0e-07
174515.8-285756 266.31595 -28.96575  1.8e-07  4.3e-08
174515.8-285919 266.31593 -28.98869  1.9e-08  2.9e-07
174515.9-285956 266.31665 -28.99910  8.2e-09  9.2e-08
174516.0-285757 266.31683 -28.96600  8.5e-07  2.1e-07
174516.0-285941 266.31702 -28.99484 -2.0e-08  1.6e-07
174516.0-290030 266.31705 -29.00856  1.2e-08  5.9e-07
174516.1-285116 266.31668 -28.85481  1.4e-07  7.7e-07
174516.1-285551 266.31738 -28.93089  4.9e-08  1.6e-07
174516.1-290315 266.31750 -29.05430  4.1e-07  3.0e-06
174516.2-285546 266.31784 -28.92946 -1.3e-08  1.3e-07
174516.2-290238 266.31803 -29.04372  6.3e-08  1.3e-08
174516.2-290315 266.31750 -29.05430  4.0e-07  3.0e-06
174516.2-290424 266.31757 -29.07358  3.8e-09  4.0e-07
174516.2-290502 266.31778 -29.08403 -2.0e-08  4.3e-07
174516.3-285746 266.31830 -28.96300 -4.6e-09  2.0e-07
174516.3-290130 266.31811 -29.02515 -3.6e-08  3.6e-07
174516.3-290235 266.31796 -29.04329  1.1e-07  2.6e-08
174516.5-285422 266.31879 -28.90631  3.2e-08  3.7e-07
174516.6-285412 266.31926 -28.90345  1.9e-07  1.6e-08
174516.6-285620 266.31918 -28.93906  1.1e-08  4.7e-07
174516.6-285801 266.31952 -28.96717 -5.1e-09  2.9e-07
174516.6-290138 266.31926 -29.02730 -1.9e-08  3.6e-07
174516.6-290339 266.31920 -29.06084  7.4e-08  3.4e-07
174516.6-290545 266.31930 -29.09607 -2.1e-09  4.9e-07
174516.7-285428 266.31992 -28.90779  2.0e-08  9.6e-07
174516.7-285824 266.31967 -28.97368  1.2e-08  3.4e-07
174516.7-290406 266.31979 -29.06835 -2.2e-09  5.0e-07
174516.7-290504 266.31920 -29.08472  4.9e-08  7.9e-08
174516.8-290201 266.32016 -29.03374 -1.7e-08  3.3e-07
174516.8-290247 266.32045 -29.04652  1.1e-08  2.5e-07
174516.9-290029 266.32074 -29.00819  1.9e-08  2.1e-07
174516.9-290114 266.32083 -29.02080  1.6e-08  1.1e-06
174517.0-285420 266.32108 -28.90564  7.4e-08  9.7e-07
174517.0-290544 266.32111 -29.09558  5.2e-08  8.8e-07
174517.1-285819 266.32164 -28.97198  3.2e-08  2.9e-07
174517.1-290312 266.32150 -29.05346 -2.2e-08  9.0e-07
174517.2-285309 266.32208 -28.88604  8.2e-08  5.9e-07
174517.2-285634 266.32207 -28.94283  8.7e-09  8.8e-07
174517.2-285816 266.32178 -28.97113 -6.0e-09  2.7e-07
174517.2-290041 266.32196 -29.01146  8.9e-09  5.7e-07
174517.2-290302 266.32169 -29.05055  2.3e-08  2.7e-07
174517.2-290334 266.32170 -29.05985  4.7e-09  3.1e-07
174517.3-285318 266.32245 -28.88837  3.5e-07  2.8e-07
174517.3-285606 266.32245 -28.93515 -2.3e-08  3.3e-07
174517.3-290246 266.32228 -29.04619 -2.0e-08  2.7e-07
174517.3-290439 266.32214 -29.07773  4.2e-08  3.2e-06
174517.4-285204 266.32274 -28.86797  6.0e-08  8.5e-07
174517.4-285848 266.32286 -28.97990 -1.4e-08  1.9e-07
174517.4-285942 266.32251 -28.99500 -3.5e-08  2.9e-07
174517.4-290211 266.32291 -29.03648 -7.8e-09  3.5e-07
174517.4-290301 266.32254 -29.05023 -7.4e-09  1.9e-07
174517.4-290444 266.32246 -29.07857  5.9e-08  1.0e-06
174517.5-285647 266.32303 -28.94640  1.9e-08  8.8e-07
174517.5-290038 266.32315 -29.01067  1.0e-09  1.8e-07
174517.5-290053 266.32312 -29.01476  4.5e-08  2.2e-07
174517.5-290206 266.32309 -29.03518 -7.0e-09  3.3e-07
174517.5-290210 266.32327 -29.03627 -1.4e-08  2.3e-07
174517.5-290353 266.32312 -29.06495  1.5e-08  4.7e-07
174517.5-290630 266.32321 -29.10850  4.9e-07  1.0e-06
174517.6-290410 266.32373 -29.06953 -3.2e-09  1.3e-07
174517.7-285824 266.32404 -28.97334  3.6e-09  1.6e-07
174517.7-290012 266.32369 -29.00337 -3.7e-09  3.7e-07
174517.7-290139 266.32404 -29.02753  7.8e-07  1.2e-07
174517.7-290150 266.32404 -29.03067  2.5e-07  4.0e-08
174517.8-285954 266.32421 -28.99846  1.3e-07 -1.6e-09
174517.8-290653 266.32443 -29.11492 -1.4e-08  1.9e-06
174517.9-290103 266.32481 -29.01763  2.9e-08  2.5e-07
174518.0-285520 266.32520 -28.92248  3.3e-09  3.1e-07
174518.0-285811 266.32507 -28.96962  1.7e-08  5.3e-07
174518.0-290259 266.32523 -29.04999 -4.1e-09  4.9e-07
174518.2-285757 266.32617 -28.96602 -4.2e-08  4.3e-07
174518.2-290042 266.32580 -29.01182 -1.0e-09  1.4e-07
174518.2-290214 266.32596 -29.03747  2.7e-08  2.0e-07
174518.2-290600 266.32587 -29.10013  2.3e-08  1.9e-07
174518.3-285649 266.32657 -28.94709 -1.5e-08  1.0e-06
174518.3-285949 266.32624 -28.99717  2.6e-07  5.9e-08
174518.3-290321 266.32657 -29.05596 -1.7e-08  1.5e-06
174518.3-290356 266.32660 -29.06571  6.4e-08  2.2e-07
174518.3-290405 266.32629 -29.06822  4.5e-08  3.8e-06
174518.3-290431 266.32675 -29.07543  1.5e-08  4.1e-07
174518.4-285950 266.32674 -28.99731  8.1e-08  6.4e-08
174518.4-290000 266.32684 -29.00014  1.4e-08  2.9e-07
174518.4-290341 266.32694 -29.06135  6.1e-09  3.6e-07
174518.5-285741 266.32747 -28.96146 -2.5e-08  4.0e-07
174518.5-285900 266.32728 -28.98343  1.9e-08  4.0e-07
174518.5-290212 266.32712 -29.03687  4.7e-09  1.0e-06
174518.6-285346 266.32767 -28.89635 -1.1e-08  8.3e-07
174518.6-285522 266.32778 -28.92281  9.1e-09  5.2e-07
174518.6-285849 266.32776 -28.98024 -4.5e-09  5.3e-07
174518.6-285931 266.32775 -28.99209 -1.8e-09  1.8e-07
174518.6-290011 266.32785 -29.00308  3.6e-09  4.7e-07
174518.6-290024 266.32782 -29.00683  1.9e-08  1.5e-06
174518.7-285439 266.32836 -28.91076  7.2e-08  4.1e-07
174518.7-285807 266.32828 -28.96881  1.7e-08  1.9e-07
174518.7-290011 266.32788 -29.00306 -1.5e-09  4.6e-07
174518.7-290020 266.32821 -29.00566  8.5e-10  1.9e-07
174518.7-290346 266.32794 -29.06305  9.8e-09  6.1e-07
174518.8-285710 266.32861 -28.95301 -3.5e-08  8.8e-07
174518.8-290009 266.32866 -29.00273  1.7e-09  1.5e-07
174518.8-290335 266.32862 -29.05975  2.6e-09  2.7e-07
174518.9-285809 266.32897 -28.96917  3.2e-09  2.4e-07
174518.9-290238 266.32886 -29.04403  2.2e-08  8.4e-08
174518.9-290504 266.32856 -29.08414 -1.0e-08  2.1e-07
174519.0-285519 266.32950 -28.92207 -2.0e-08  5.8e-07
174519.0-290026 266.32956 -29.00739  5.2e-09  3.7e-07
174519.1-285432 266.32971 -28.90913  2.9e-08  5.4e-07
174519.1-290026 266.32957 -29.00744  1.6e-08  4.0e-07
174519.1-290203 266.32987 -29.03425 -1.8e-08  2.5e-07
174519.1-290237 266.32990 -29.04385  3.6e-08  2.1e-07
174519.1-290321 266.32983 -29.05605 -2.1e-08  1.1e-06
174519.2-285607 266.33005 -28.93542 -1.4e-08  3.7e-07
174519.2-285840 266.33025 -28.97807  6.3e-08  6.2e-08
174519.2-290016 266.33017 -29.00466  4.1e-09  2.5e-07
174519.2-290214 266.33042 -29.03741  1.5e-08  1.1e-07
174519.3-285544 266.33066 -28.92896  1.8e-08  4.6e-07
174519.3-285642 266.33061 -28.94506  9.0e-09  1.0e-06
174519.3-285809 266.33078 -28.96910  3.4e-08  5.8e-07
174519.3-290014 266.33069 -29.00406  4.5e-08  4.4e-07
174519.3-290046 266.33044 -29.01287  2.3e-08  1.6e-07
